source_file,battery_id,start_time,ambient_temperature,charge_duration,max_temp_charge
00003.csv,B0047,[2010.       7.      21.      17.      25.      40.671],4,10803.313,8.793624097800858
00006.csv,B0047,[2010.       7.      21.      22.      38.      43.484],4,10802.077999999994,10.1455937779198
00008.csv,B0047,[2010.       7.      22.       3.      14.      53.218],4,10807.688,9.371285850326036
00010.csv,B0047,[2010.       7.      22.       7.      50.      21.625],4,10805.687,9.599392228576075
00012.csv,B0047,[2010.       7.      22.      12.      25.       3.656],4,10804.078,9.977435052651424
00015.csv,B0047,[2010.       7.      22.      17.      34.      59.312],4,10804.969,8.878068239463989
00019.csv,B0047,[2010.      7.     23.     12.      7.     29.25],4,10808.375,8.54999351511764
00022.csv,B0047,[2010.       7.      23.      17.      17.      36.625],4,10804.25,9.9149863999085
00024.csv,B0047,[2010.       7.      23.      21.      50.      50.578],4,10802.406000000004,8.87729954678877
00026.csv,B0047,[2.0100e+03 7.0000e+00 2.4000e+01 2.0000e+00 2.3000e+01 2.1453e+01],4,10803.203,9.792328297818012
00028.csv,B0047,[2010.       7.      24.       6.      55.      11.046],4,10806.079,8.793395853031353
00031.csv,B0047,[2.010e+03 7.000e+00 2.400e+01 1.200e+01 2.000e+00 2.839e+01],4,10803.641,8.489081034047558
00035.csv,B0047,[2010.       7.      27.      18.      19.       3.281],4,10805.125,8.875067965433193
00038.csv,B0047,[2010.       7.      27.      23.      28.       8.828],4,10806.202999999994,9.0113162300133
00040.csv,B0047,[2010.       7.      28.       4.       0.      28.265],4,10807.016,9.117837502841068
00042.csv,B0047,[2010.       7.      28.       8.      31.      35.609],4,10803.453,9.008870688771184
00044.csv,B0047,[2.010e+03 7.000e+00 2.800e+01 1.300e+01 2.000e+00 8.531e+00],4,10807.812,8.775487596967912
00047.csv,B0047,[2010.       7.      28.      18.       7.      53.906],4,10805.016,8.527927995096366
00050.csv,B0047,[2.01e+03 7.00e+00 2.80e+01 2.30e+01 1.30e+01 7.96e-01],4,10805.781000000004,9.25658691248093
00052.csv,B0047,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 5.5000e+01 5.2843e+01],4,10802.625,8.229513715800891
00054.csv,B0047,[2010.       7.      29.       7.      27.      57.484],4,10808.813,8.682117686665979
00056.csv,B0047,[2010.       7.      29.      11.      56.      11.593],4,10804.828,8.807432989820063
00059.csv,B0047,[2010.       7.      29.      16.      59.      23.625],4,10808.359,8.672791913113644
00062.csv,B0047,[2.0100e+03 7.0000e+00 2.9000e+01 2.2000e+01 2.0000e+00 1.5765e+01],4,10808.75,8.749810595907697
00064.csv,B0047,[2.0100e+03 7.0000e+00 3.0000e+01 2.0000e+00 2.8000e+01 4.1125e+01],4,10808.5,8.66228512118762
00066.csv,B0047,[2010.       7.      30.       6.      54.      35.109],4,10808.781,9.019728113451215
00068.csv,B0047,[2010.       7.      30.      11.      19.      35.093],4,10804.703,9.116016163768313
00071.csv,B0047,[2010    7   30   16   20    6],4,10804.766,8.576939986227508
00074.csv,B0047,[2010.       7.      30.      21.      20.      14.843],4,10802.641000000003,9.125952057926662
00076.csv,B0047,[2.0100e+03 7.0000e+00 3.1000e+01 1.0000e+00 4.3000e+01 5.7734e+01],4,10802.015,8.913521508673037
00078.csv,B0047,[2010.       7.      31.       6.       7.       5.562],4,10808.25,8.992670910674468
00080.csv,B0047,[2010.       7.      31.      10.      29.      39.359],4,10803.187,8.976466972713451
00083.csv,B0047,[2010.       7.      31.      15.      27.      42.562],4,10804.329,8.403683675857872
00087.csv,B0047,[2010.       8.       3.      17.      52.      22.375],4,10802.156,8.788041070938254
00090.csv,B0047,[2010.       8.       3.      22.      54.      43.062],4,10804.672000000006,8.996273749783748
00092.csv,B0047,[2010.      8.      4.      3.     19.     23.25],4,10806.687,8.968773510126884
00094.csv,B0047,[2010.       8.       4.       7.      43.      19.828],4,10804.187,9.068457233547
00096.csv,B0047,[2010.       8.       4.      12.       6.      28.531],4,10804.703,9.600388701677394
00099.csv,B0047,[2010.       8.       4.      17.       4.      33.625],4,10805.594,8.576341354197764
00102.csv,B0047,[2.0100e+03 8.0000e+00 4.0000e+00 2.2000e+01 2.0000e+00 3.3781e+01],4,10803.797000000006,9.684286179234707
00104.csv,B0047,[2.0100e+03 8.0000e+00 5.0000e+00 2.0000e+00 2.3000e+01 3.5171e+01],4,10806.938,9.050797354590737
00106.csv,B0047,[2010.       8.       5.       6.      44.       4.281],4,10805.984,9.672640844666988
00108.csv,B0047,[2010.       8.       5.      11.       4.      13.765],4,10804.937,9.672917525535627
00111.csv,B0047,[2010.       8.       5.      15.      59.      42.062],4,10804.922,8.275505407411664
00114.csv,B0047,[2010.       8.       5.      20.      54.      47.218],4,10808.079,9.244232741743328
00116.csv,B0047,[2.0100e+03 8.0000e+00 6.0000e+00 1.0000e+00 1.3000e+01 2.8265e+01],4,10808.421,8.98886237250283
00118.csv,B0047,[2010.       8.       6.       5.      31.      48.156],4,10809.953,8.764404412635383
00120.csv,B0047,[2010.       8.       6.       9.      49.      49.937],4,10803.234,10.248920981212065
00123.csv,B0047,[2010.       8.       6.      14.      43.       7.578],4,10806.329,8.050593138909571
00126.csv,B0047,[2010.       8.       6.      19.      36.      20.187],4,10804.89,9.051801996945862
00128.csv,B0047,[2010.      8.      6.     23.     53.     10.89],4,10807.342999999992,9.434354469842534
00130.csv,B0047,[2010.       8.       7.       4.       9.      31.812],4,10809.625,8.999904872354442
00132.csv,B0047,[2010.       8.       7.       8.      25.      18.796],4,10804.875,9.182460296652252
00135.csv,B0047,[2010.       8.       7.      13.       4.      21.953],4,10804.531,8.087782069116129
00139.csv,B0047,[2010.       8.      10.      17.      36.      14.109],4,10810.016,8.597670678653154
00142.csv,B0047,[2010.       8.      10.      22.      33.      31.875],4,10803.282000000008,9.23195987630668
00144.csv,B0047,[2.0100e+03 8.0000e+00 1.1000e+01 2.0000e+00 5.3000e+01 2.2453e+01],4,10808.906,9.283964087662714
00146.csv,B0047,[2010.       8.      11.       7.      12.      27.125],4,10809.375,9.913959079053493
00148.csv,B0047,[2010.       8.      11.      11.      31.      14.703],4,10803.938,11.008944870597244
00151.csv,B0047,[2010.       8.      11.      16.      25.      13.593],4,10802.313,8.769234212566106
